"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USA300HOU_1438",15.0617105298311,0.739984303525619,0.63305885546679,1.16890285498018,0.242442773128599,0.28492070096541
"USA300HOU_1439",71.7901313200139,0.364120595039568,0.342577895927121,1.06288408962915,0.287834519095986,0.333301689570363
"USA300HOU_1440",41.1815733834538,1.04115857281694,0.420427053426723,2.47643096306694,0.0132703286611655,0.0186312358963407
"USA300HOU_1441",389.995849743499,0.963853735181148,0.211778787920406,4.55122887729152,5.33334917815984e-06,1.00557806359823e-05
"USA300HOU_1442",5.05915068185201,2.71146448554856,1.3485655296261,2.01062864649992,0.0443646959070872,0.0582340895884124
"USA300HOU_1443",3.58492168021675,2.59041809411341,1.41285950092586,1.83345767389885,0.0667345374916245,0.085915913670839
"USA300HOU_1444",93.746118862544,2.03961966051327,0.32095513855155,6.3548434516984,2.08638989920919e-10,5.01144503095636e-10
"USA300HOU_1445",51.189221347505,1.62615417799098,0.450042863831805,3.61333177054604,0.000302287510490696,0.000495138822128533
"USA300HOU_1446",9.08789586533484,-0.0293985954328525,0.837547949835921,-0.0351007908724651,0.97199937077722,0.977013972476195
"USA300HOU_1447",17.0970948985774,0.27752628681241,0.647995776868017,0.428284098013398,0.668444294952518,0.712812417868683
"USA300HOU_1448",13.077174756653,-0.127359679961818,0.737231302342915,-0.17275403195316,0.862844770861663,0.882891428346785
"USA300HOU_1449",15.4716208375327,0.247973688381548,0.689326744531475,0.359733160433362,0.719046691434283,0.758334226854631
"USA300HOU_1450",66.9773873920645,0.156759757616688,0.373455871064451,0.419754433555644,0.674664855457642,0.718874427002721
"USA300HOU_1451",21.1841912438019,1.55950378804098,0.543447493476476,2.86964942659817,0.00410927119700208,0.00613191024558209
"USA300HOU_1452",93.032445483566,0.989428827735625,0.288976294121118,3.42391001568083,0.000617270565884161,0.000988148525219095
"USA300HOU_1453",40.1374406144155,0.826360148923616,0.465410135508055,1.77555254146225,0.0758066981914256,0.0966679521138759
"USA300HOU_1454",4.35970700245351,-0.229938320639091,1.25859986270004,-0.182693743622227,0.855038325009107,0.876602149789619
"USA300HOU_1455",74.3472040148717,1.38418969663904,0.33615023023708,4.11777108009952,3.82554414895011e-05,6.76148547538416e-05
"USA300HOU_1456",192.380101458622,0.58116735946129,0.211231615752924,2.75132752921361,0.00593542655505148,0.00874025765488645
"USA300HOU_1457",25.854452153275,1.68574161127951,0.51018887997547,3.30415200613655,0.000952641641386311,0.00150172592470004
"USA300HOU_1458",10.6939590031732,2.13079662526339,0.867605919448955,2.45594984715725,0.0140512765920173,0.0196967476992594
"USA300HOU_1459",185.905494403299,0.941179418558076,0.219711247866802,4.28371067797429,1.83801891974882e-05,3.33653908097841e-05
"USA300HOU_1460",20.684455447126,-0.396753916681296,0.571105489180879,-0.694712140221852,0.487235718344698,0.539295970428558
"USA300HOU_1461",6.37619332256245,0.254024810059634,0.977234026436119,0.259942657733724,0.794908005843092,0.826002393368325
"USA300HOU_1462",16.5250565176254,0.408425591369816,0.612186817830043,0.667158422027971,0.504670946062119,0.556756639919681
"USA300HOU_1463",6.56998076987613,1.05091687879144,1.02348754131985,1.02679987431623,0.304514708584575,0.350996289495297
"USA300HOU_1464",8.24050461683264,1.20985765388577,0.843563122487743,1.4342230256792,0.151508628230837,0.183603274409817
"USA300HOU_1465",6.78899255207881,1.40456107667214,1.04889657167793,1.33908443844491,0.180543185871698,0.216732602994974
"USA300HOU_1466",14.2779440545384,2.08303058596847,0.830887182954137,2.50699568930943,0.0121762196623247,0.0172122219989553
"USA300HOU_1467",6.81339300825016,0.206788795367145,0.921472302916301,0.224411297781489,0.822437280500418,0.849018554668188
"USA300HOU_1468",2.53351720576745,0.631058079482737,1.71787107622426,0.367348917050138,0.713358770188005,0.753520307249771
"USA300HOU_1469",5.53270342791089,1.83481093228277,1.25562936562249,1.46126793663602,0.143941925439503,0.175384280633145
"USA300HOU_1470",3.55245396495508,1.08664242826684,1.42792036739116,0.760996518490847,0.446659146723458,0.498911944487526
"USA300HOU_1471",7.65388379226895,1.98083712727066,1.01822457018854,1.94538335183158,0.0517288569339255,0.0673403799872499
"USA300HOU_1472",0.932593430506198,1.59368359543928,2.72261994192365,0.585349269980471,0.558312892088596,0.609419645839586
"USA300HOU_1473",34.9048374222707,1.69944189874148,0.626560040367851,2.71233686997297,0.00668106571046383,0.00973143284537158
"USA300HOU_1474",8.27667733015919,0.947565404076584,1.00185048687275,0.945815185491785,0.344242858840192,0.393357576775228
"USA300HOU_1475",14.5423118609374,1.61165704005957,0.691456179630974,2.33081587457892,0.0197630706883139,0.0271085473705247
"USA300HOU_1476",2.30182276061723,2.16653719209704,1.80130489800703,1.20275984065446,0.229069269577899,0.270269503200309
"USA300HOU_1477",1.61156611996772,1.18737726023546,2.04979962216434,0.579265040053881,0.56241035091144,0.612894789396992
"USA300HOU_1478",3.6731025417594,2.09924414637658,1.43754888279373,1.46029409608452,0.144209263950998,0.175630256550399
"USA300HOU_1479",3.08866721038938,1.63294551187497,1.68004945510797,0.971962763899725,0.331069073416409,0.379111533920711
"USA300HOU_1481",28.3237920843043,-4.23852018711175,0.717928255448664,-5.90382138457961,3.55176698797049e-09,8.0757549395973e-09
"USA300HOU_1482",16.0430733482779,-3.34550076016741,0.791244428408012,-4.22815079645942,2.35619859320985e-05,4.25129847046538e-05
"USA300HOU_1483",201.636037128375,-0.66120647033496,0.236776698698,-2.79253184105884,0.00522973202742416,0.00773078293640717
"USA300HOU_1484",15.7217450307838,-0.19748868374363,0.608456974689311,-0.324572964003693,0.745504291892326,0.782240131070439
"USA300HOU_1485",13.9073410034568,-2.71871392154157,0.763594367246555,-3.56041641761317,0.000370267155697235,0.000601347929016757
"USA300HOU_1486",242.44905303217,-2.13137473804537,0.271459407131063,-7.85154126935937,4.10955231687522e-15,1.19070506114214e-14
"USA300HOU_1487",176.004722891622,-3.3792244769485,0.311042543100837,-10.8641873978409,1.70736359510247e-27,7.68600088197973e-27
"USA300HOU_1488",157.549224360144,-2.64862840602992,0.322058357731605,-8.22406356625968,1.96721747362026e-16,6.01829473400588e-16
"USA300HOU_1489",1554.95902736844,-0.380220580291385,0.161712936395093,-2.35120695206746,0.0187126229676527,0.0257334533173819
"USA300HOU_1490",351.057018162957,-0.861784072667008,0.19440351049481,-4.43296559035138,9.2945704451483e-06,1.71981603478158e-05
"USA300HOU_1492",111.339513553288,-1.09887987038569,0.288638934600356,-3.80710894705588,0.00014060081597665,0.000237551630519742
"USA300HOU_1493",4243.31843020735,-0.685954444724303,0.157008147506449,-4.36890986626109,1.24868286096664e-05,2.29309795754516e-05
"USA300HOU_1494",6448.67872998144,-1.08787969732003,0.210801183367495,-5.16069065619762,2.460404471315e-07,5.00854719008964e-07
"USA300HOU_1495",2890.99128038798,-0.323363743111137,0.141703438972956,-2.28197526788923,0.0224908004613959,0.0304915703071881
"USA300HOU_1496",2161.73764883533,-0.288658259589619,0.144027180543384,-2.00419294816834,0.0450493956811974,0.0590461790975343
"USA300HOU_1497",330.81390764738,1.03730184509799,0.18464284715563,5.6178826370874,1.93311728820484e-08,4.2069659810499e-08
